DMF command 0 at 63789504172870.6118 ms : clra 0
DMF command 1 at 63789504172933.1207 ms : clra 1
DMF command 2 at 63789504174891.6723 ms : setel 0 200
DMF command 3 at 63789504175141.6362 ms : setel 0 210
DMF command 4 at 63789504175266.6546 ms : clrel 0 200
DMF command 5 at 63789504175328.808 ms : setel 0 220
DMF command 6 at 63789504175454.108 ms : clrel 0 210
DMF command 7 at 63789504175578.7623 ms : setel 0 230
DMF command 8 at 63789504175641.5392 ms : clrel 0 220
DMF command 9 at 63789504175781.8574 ms : setel 0 240
DMF command 10 at 63789504175907.0819 ms : clrel 0 230
DMF command 11 at 63789504175969.2818 ms : setel 0 250
DMF command 12 at 63789504176096.5252 ms : clrel 0 240
DMF command 13 at 63789504176221.5327 ms : setel 0 135
DMF command 14 at 63789504176346.1507 ms : clrel 0 250
DMF command 15 at 63789504176471.4708 ms : setel 0 145
DMF command 16 at 63789504176533.6067 ms : clrel 0 135
DMF command 17 at 63789504176658.8762 ms : setel 0 155
DMF command 18 at 63789504176783.8895 ms : clrel 0 145
DMF command 19 at 63789504176846.3756 ms : setel 0 165
DMF command 20 at 63789504177033.7384 ms : clrel 0 155
DMF command 21 at 63789504177097.9811 ms : setel 0 175
DMF command 22 at 63789504177222.9134 ms : clrel 0 165
DMF command 23 at 63789504177363.5488 ms : setel 0 185
DMF command 24 at 63789504177425.6954 ms : clrel 0 175
DMF command 25 at 63789504177550.9957 ms : setel 0 67
DMF command 26 at 63789504177691.2568 ms : clrel 0 185
DMF command 27 at 63789504177816.2279 ms : setel 0 185
DMF command 28 at 63789504177879.0012 ms : clrel 0 67
DMF command 29 at 63789504178004.0264 ms : setel 0 175
DMF command 30 at 63789504178128.9714 ms : clrel 0 185
DMF command 31 at 63789504178253.9776 ms : setel 0 165
DMF command 32 at 63789504178378.6246 ms : clrel 0 175
DMF command 33 at 63789504178503.9242 ms : setel 0 155
DMF command 34 at 63789504178628.5893 ms : clrel 0 165
DMF command 35 at 63789504178753.507 ms : setel 0 145
DMF command 36 at 63789504178816.3301 ms : clrel 0 155
DMF command 37 at 63789504178940.9622 ms : setel 0 135
DMF command 38 at 63789504179066.2775 ms : clrel 0 145
DMF command 39 at 63789504179128.7313 ms : setel 0 250
DMF command 40 at 63789504179253.7404 ms : clrel 0 135
DMF command 41 at 63789504179380.1738 ms : setel 0 240
DMF command 42 at 63789504179504.7989 ms : clrel 0 250
DMF command 43 at 63789504179630.09 ms : setel 0 230
DMF command 44 at 63789504179755.0918 ms : clrel 0 240
DMF command 45 at 63789504179817.5586 ms : setel 0 220
DMF command 46 at 63789504179942.197 ms : clrel 0 230
DMF command 47 at 63789504180067.1668 ms : setel 0 210
DMF command 48 at 63789504180192.4492 ms : clrel 0 220
DMF command 49 at 63789504180317.371 ms : setel 0 200
DMF command 50 at 63789504180379.9056 ms : clrel 0 210
DMF command 51 at 63789504180504.9279 ms : setel 0 210
DMF command 52 at 63789504180629.5339 ms : clrel 0 200
DMF command 53 at 63789504180754.8285 ms : setel 0 220
DMF command 54 at 63789504180817.2862 ms : clrel 0 210
DMF command 55 at 63789504180943.8311 ms : setel 0 230
DMF command 56 at 63789504181068.8871 ms : clrel 0 220
DMF command 57 at 63789504181193.5006 ms : setel 0 240
DMF command 58 at 63789504181318.7212 ms : clrel 0 230
DMF command 59 at 63789504181443.7151 ms : setel 0 250
DMF command 60 at 63789504181568.762 ms : clrel 0 240
DMF command 61 at 63789504181631.233 ms : setel 0 135
DMF command 62 at 63789504181756.2245 ms : clrel 0 250
DMF command 63 at 63789504181880.8385 ms : setel 0 145
DMF command 64 at 63789504182007.4428 ms : clrel 0 135
DMF command 65 at 63789504182070.3029 ms : setel 0 155
DMF command 66 at 63789504182195.2153 ms : clrel 0 145
DMF command 67 at 63789504182320.0562 ms : setel 0 165
DMF command 68 at 63789504182444.8683 ms : clrel 0 155
DMF command 69 at 63789504182569.8094 ms : setel 0 175
DMF command 70 at 63789504182695.0731 ms : clrel 0 165
DMF command 71 at 63789504182757.2651 ms : setel 0 185
DMF command 72 at 63789504182882.5253 ms : clrel 0 175
DMF command 73 at 63789504183007.2228 ms : setel 0 67
DMF command 74 at 63789504183132.4948 ms : clrel 0 185
DMF command 75 at 63789504183257.1469 ms : setel 0 185
DMF command 76 at 63789504183319.9892 ms : clrel 0 67
DMF command 77 at 63789504183444.9374 ms : setel 0 175
DMF command 78 at 63789504183569.9294 ms : clrel 0 185
DMF command 79 at 63789504183694.8662 ms : setel 0 165
DMF command 80 at 63789504183819.5148 ms : clrel 0 175
DMF command 81 at 63789504183944.7699 ms : setel 0 155
DMF command 82 at 63789504184069.8005 ms : clrel 0 165
DMF command 83 at 63789504184196.2275 ms : setel 0 145
DMF command 84 at 63789504184258.629 ms : clrel 0 155
DMF command 85 at 63789504184383.3666 ms : setel 0 135
DMF command 86 at 63789504184508.5929 ms : clrel 0 145
DMF command 87 at 63789504184633.6335 ms : setel 0 250
DMF command 88 at 63789504184696.1037 ms : clrel 0 135
DMF command 89 at 63789504184821.1065 ms : setel 0 240
DMF command 90 at 63789504184945.7338 ms : clrel 0 250
DMF command 91 at 63789504185070.9914 ms : setel 0 230
DMF command 92 at 63789504185133.5252 ms : clrel 0 240
DMF command 93 at 63789504185259.4666 ms : setel 0 220
DMF command 94 at 63789504185384.7715 ms : clrel 0 230
DMF command 95 at 63789504185509.4097 ms : setel 0 210
DMF command 96 at 63789504185634.7298 ms : clrel 0 220
DMF command 97 at 63789504185759.6688 ms : setel 0 200
DMF command 98 at 63789504185822.1815 ms : clrel 0 210
DMF command 99 at 63789504185947.1087 ms : setel 0 210
DMF command 100 at 63789504186071.8053 ms : clrel 0 200
DMF command 101 at 63789504186198.1802 ms : setel 0 220
DMF command 102 at 63789504186323.4686 ms : clrel 0 210
DMF command 103 at 63789504186385.734 ms : setel 0 230
DMF command 104 at 63789504186526.1999 ms : clrel 0 220
DMF command 105 at 63789504186651.5246 ms : setel 0 240
DMF command 106 at 63789504186776.1398 ms : clrel 0 230
DMF command 107 at 63789504186901.3866 ms : setel 0 250
DMF command 108 at 63789504187026.1158 ms : clrel 0 240
DMF command 109 at 63789504187088.895 ms : setel 0 135
DMF command 110 at 63789504187213.5363 ms : clrel 0 250
DMF command 111 at 63789504187338.7762 ms : setel 0 145
DMF command 112 at 63789504187463.8253 ms : clrel 0 135
DMF command 113 at 63789504187588.7658 ms : setel 0 155
DMF command 114 at 63789504187713.7525 ms : clrel 0 145
DMF command 115 at 63789504187776.1628 ms : setel 0 165
DMF command 116 at 63789504187900.8741 ms : clrel 0 155
DMF command 117 at 63789504188027.7858 ms : setel 0 175
DMF command 118 at 63789504188090.3035 ms : clrel 0 165
DMF command 119 at 63789504188215.2511 ms : setel 0 185
DMF command 120 at 63789504188340.2597 ms : clrel 0 175
DMF command 121 at 63789504188464.9016 ms : setel 0 67
DMF command 122 at 63789504188590.1641 ms : clrel 0 185
DMF command 123 at 63789504188652.5775 ms : setel 0 185
DMF command 124 at 63789504188777.5355 ms : clrel 0 67
DMF command 125 at 63789504188918.2196 ms : setel 0 175
DMF command 126 at 63789504189043.1345 ms : clrel 0 185
DMF command 127 at 63789504189105.6598 ms : setel 0 165
DMF command 128 at 63789504189230.5411 ms : clrel 0 175
DMF command 129 at 63789504189355.2787 ms : setel 0 155
DMF command 130 at 63789504189480.5946 ms : clrel 0 165
